"","Site","RCP","Period","Rgroup","Median_Biomass","Percent_Change"
"1","1","RCP45","Mid","a.forb",0.177466465,2.82583036158174
"2","1","RCP45","Mid","p.cool.grass",4.8275309,7.37144360717076
"3","1","RCP45","Mid","p.forb",1.005060245,5.66200701900202
"4","1","RCP45","Mid","p.warm.grass",5.8408683,15.9367928494953
"5","1","RCP45","Mid","sagebrush",168.19835476,31.4897214245239
"6","1","RCP45","Mid","shrub",0.461475420000001,5.71811865273688
"7","1","RCP45","Late","a.forb",0.16748415,2.66688016890239
"8","1","RCP45","Late","p.cool.grass",5.13238197000001,7.83693880909495
"9","1","RCP45","Late","p.forb",1.09689709,6.17936989707805
"10","1","RCP45","Late","p.warm.grass",5.43086423,14.818097889186
"11","1","RCP45","Late","sagebrush",204.14420559,38.2194235706556
"12","1","RCP45","Late","shrub",0.34828328,4.31556055532574
"13","1","RCP85","Mid","a.forb",-0.151329675,-2.40964956519136
"14","1","RCP85","Mid","p.cool.grass",5.41714301,8.27175735119464
"15","1","RCP85","Mid","p.forb",1.166884385,6.57364333242915
"16","1","RCP85","Mid","p.warm.grass",5.60894803,15.3039990402959
"17","1","RCP85","Mid","sagebrush",205.94470911,38.5565098302066
"18","1","RCP85","Mid","shrub",0.443229070000001,5.49202905021944
"19","1","RCP85","Late","a.forb",-0.0955962550000002,-1.5221963193582
"20","1","RCP85","Late","p.cool.grass",5.03705278000001,7.69137500789747
"21","1","RCP85","Late","p.forb",-1.841418475,-10.3736312148831
"22","1","RCP85","Late","p.warm.grass",8.08093724,22.0488146982619
"23","1","RCP85","Late","sagebrush",118.27145053,22.1425175946475
"24","1","RCP85","Late","shrub",-0.99307361,-12.3051250116024
"25","2","RCP45","Mid","a.forb",0.806072944999999,15.4190191618177
"26","2","RCP45","Mid","p.cool.grass",6.77555854,10.6159485558677
"27","2","RCP45","Mid","p.forb",1.660240235,9.80983245937503
"28","2","RCP45","Mid","p.warm.grass",11.55540548,38.0943407923181
"29","2","RCP45","Mid","sagebrush",338.76413263,84.4929724457012
"30","2","RCP45","Mid","shrub",1.10344193,14.9969902236006
"31","2","RCP45","Late","a.forb",1.015917145,19.4330376955824
"32","2","RCP45","Late","p.cool.grass",6.07204866,9.51368891918471
"33","2","RCP45","Late","p.forb",1.466874675,8.66729675458696
"34","2","RCP45","Late","p.warm.grass",12.65470198,41.7183568924267
"35","2","RCP45","Late","sagebrush",355.2749859,88.6110325826071
"36","2","RCP45","Late","shrub",1.13083352,15.3692720775618
"37","2","RCP85","Mid","a.forb",1.12027283,21.429212256012
"38","2","RCP85","Mid","p.cool.grass",6.59216412,10.3286060856256
"39","2","RCP85","Mid","p.forb",1.659612815,9.8061252337869
"40","2","RCP85","Mid","p.warm.grass",12.68526143,41.8191012674069
"41","2","RCP85","Mid","sagebrush",334.03518859,83.3135012444055
"42","2","RCP85","Mid","shrub",1.12977044,15.3548236503873
"43","2","RCP85","Late","a.forb",1.146047185,21.9222386949883
"44","2","RCP85","Late","p.cool.grass",7.54670491,11.8241810793762
"45","2","RCP85","Late","p.forb",-0.872147934999997,-5.15324526040045
"46","2","RCP85","Late","p.warm.grass",14.16476142,46.6965222215084
"47","2","RCP85","Late","sagebrush",257.25070671,64.1622733343651
"48","2","RCP85","Late","shrub",-0.02326987,-0.316263142995171
"49","3","RCP45","Mid","a.forb",0.709483045,12.4019605522716
"50","3","RCP45","Mid","p.cool.grass",2.25279497000001,3.18503467500548
"51","3","RCP45","Mid","p.forb",1.33842249,7.75870272130191
"52","3","RCP45","Mid","p.warm.grass",9.77085619,29.5936514269074
"53","3","RCP45","Mid","sagebrush",251.43966742,55.1524733328738
"54","3","RCP45","Mid","shrub",0.76858956,10.1565142081157
"55","3","RCP45","Late","a.forb",0.421027895,7.35968446602688
"56","3","RCP45","Late","p.cool.grass",0.26080171000001,0.368725294894791
"57","3","RCP45","Late","p.forb",1.53272115,8.88503282509995
"58","3","RCP45","Late","p.warm.grass",9.37089174,28.3822521097658
"59","3","RCP45","Late","sagebrush",273.89257451,60.0774454831839
"60","3","RCP45","Late","shrub",1.09273528,14.439932539585
"61","3","RCP85","Mid","a.forb",0.41457247,7.24684184524494
"62","3","RCP85","Mid","p.cool.grass",-0.0107500499999986,-0.0151985788604802
"63","3","RCP85","Mid","p.forb",1.412426825,8.18769852766546
"64","3","RCP85","Mid","p.warm.grass",9.51055651,28.8052642224842
"65","3","RCP85","Mid","sagebrush",254.02210208,55.7189219771191
"66","3","RCP85","Mid","shrub",1.08657177,14.3584849371913
"67","3","RCP85","Late","a.forb",0.80972944,14.1542953614811
"68","3","RCP85","Late","p.cool.grass",0.317806600000011,0.449319647116235
"69","3","RCP85","Late","p.forb",-1.1424898,-6.62290030730109
"70","3","RCP85","Late","p.warm.grass",11.52883792,34.9181693116079
"71","3","RCP85","Late","sagebrush",193.44113345,42.4306835256075
"72","3","RCP85","Late","shrub",0.0718089099999997,0.94891767028985
"73","4","RCP45","Mid","a.forb",0.451845235,7.70081487478876
"74","4","RCP45","Mid","p.cool.grass",11.384233,18.8317088688353
"75","4","RCP45","Mid","p.forb",1.72601572,10.4755194825918
"76","4","RCP45","Mid","p.warm.grass",11.59156543,37.8801715225007
"77","4","RCP45","Mid","sagebrush",302.88437556,75.3673486247418
"78","4","RCP45","Mid","shrub",0.591506750000001,7.57246539772619
"79","4","RCP45","Late","a.forb",-0.39049121,-6.65515598154367
"80","4","RCP45","Late","p.cool.grass",9.12532191,15.0950358749267
"81","4","RCP45","Late","p.forb",2.01225137,12.2127383812629
"82","4","RCP45","Late","p.warm.grass",12.61826386,41.2353277233731
"83","4","RCP45","Late","sagebrush",305.98679985,76.139331308279
"84","4","RCP45","Late","shrub",0.77053531,9.86438780741085
"85","4","RCP85","Mid","a.forb",0.324262065,5.52641023973998
"86","4","RCP85","Mid","p.cool.grass",10.55461453,17.4593605077952
"87","4","RCP85","Mid","p.forb",2.1842774,13.2567972550592
"88","4","RCP85","Mid","p.warm.grass",12.28589313,40.1491706950157
"89","4","RCP85","Mid","sagebrush",305.69631651,76.0670497351045
"90","4","RCP85","Mid","shrub",0.58013465,7.42687985073203
"91","4","RCP85","Late","a.forb",0.392351325000001,6.68685798955716
"92","4","RCP85","Late","p.cool.grass",10.34254833,17.1085622643545
"93","4","RCP85","Late","p.forb",-0.267884715000001,-1.62584356477997
"94","4","RCP85","Late","p.warm.grass",13.97205957,45.6594078021952
"95","4","RCP85","Late","sagebrush",257.7154351,64.1278673000122
"96","4","RCP85","Late","shrub",-0.20271274,-2.59512712125139
"97","5","RCP45","Mid","a.forb",0.523091495,9.29207417275534
"98","5","RCP45","Mid","p.cool.grass",3.79345732,5.66227828664263
"99","5","RCP45","Mid","p.forb",1.17120597,6.70301057829918
"100","5","RCP45","Mid","p.warm.grass",9.42048099,27.7614430868155
"101","5","RCP45","Mid","sagebrush",303.42107942,70.75275546231
"102","5","RCP45","Mid","shrub",0.695149,8.93651793332515
"103","5","RCP45","Late","a.forb",0.622669355,11.0609518355135
"104","5","RCP45","Late","p.cool.grass",4.3075197,6.42959000434869
"105","5","RCP45","Late","p.forb",1.419086105,8.12167066850964
"106","5","RCP45","Late","p.warm.grass",8.54804685,25.1904458362171
"107","5","RCP45","Late","sagebrush",293.57246617,68.456222451973
"108","5","RCP45","Late","shrub",0.88460004,11.3720139441762
"109","5","RCP85","Mid","a.forb",0.581402435,10.3278959835517
"110","5","RCP85","Mid","p.cool.grass",4.67568953,6.97913619884914
"111","5","RCP85","Mid","p.forb",1.222150385,6.99457411314888
"112","5","RCP85","Mid","p.warm.grass",8.56666779,25.2453203343008
"113","5","RCP85","Mid","sagebrush",305.06775548,71.1367329658557
