ID,Latitude,Longitude,ele,time,magvar,geoidheight,name,cmt,desc,src,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,Proximity,Temperature,Depth,DisplayMode,Samples,Expiration,CreationTime
1,42.74653,-109.61512,2185.014404,2022-04-02T03:37:51Z,,,RA17BOGR,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-04-02T03:37:51Z
2,42.74525,-109.61679,2184.55127,2022-04-02T03:42:43Z,,,RA17BOGR2,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-04-02T03:42:43Z
3,42.74607,-109.61471,2184.920898,2022-04-02T03:40:18Z,,,RA17BOGR3,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-04-02T03:40:18Z
4,42.74567,-109.61665,2184.933838,2022-04-02T03:41:24Z,,,RA17BOGR4,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-04-02T03:41:24Z
5,42.74577,-109.6188,2184.801025,2022-04-02T03:44:02Z,,,RA17BOGR5,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-04-02T03:44:02Z
6,42.77076,-109.77702,2159.843994,2022-04-02T03:23:59Z,,,RA18BOGR,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-04-02T03:23:59Z
7,42.76925,-109.77521,2157.959717,2022-04-02T03:21:44Z,,,RA18BOGR2,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-04-02T03:21:44Z
8,42.77021,-109.77621,2159.738037,2022-04-02T03:22:56Z,,,RA18BOGR3,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-04-02T03:22:56Z
9,42.76806,-109.77421,2156.890137,2022-04-02T03:20:30Z,,,RA18BOGR4,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-04-02T03:20:30Z
10,42.75273,-109.78049,2181.811768,2022-04-18T18:55:01Z,,,RA18BOGR5,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-04-18T18:55:01Z
11,42.75288,-109.78101,2181.356934,2022-04-18T18:51:00Z,,,RA18BOGR6,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-04-18T18:51:00Z
12,42.75222,-109.77829,2177.12207,2022-04-18T18:58:25Z,,,RA18BOGR7,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-04-18T18:58:25Z
13,42.75276,-109.77999,2182.922363,2022-04-18T18:56:33Z,,,RA18BOGR8,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-04-18T18:56:33Z
14,42.57638,-109.43829,2295.783447,2022-03-31T00:00:07Z,,,RA22BOGR,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-03-31T00:00:07Z
15,42.57719,-109.43388,2285.052002,2022-03-31T00:06:20Z,,,RA22BOGR10,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-03-31T00:06:20Z
16,42.57711,-109.43144,2275.120361,2022-03-31T00:13:54Z,,,RA22BOGR11,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-03-31T00:13:54Z
17,42.57631,-109.43133,2276.13623,2022-03-31T00:13:09Z,,,RA22BOGR12,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-03-31T00:13:09Z
18,42.57723,-109.42901,2269.068115,2022-03-31T00:18:12Z,,,RA22BOGR13,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-03-31T00:18:12Z
19,42.57633,-109.42938,2267.436523,2022-03-31T00:19:46Z,,,RA22BOGR14,,,,"Flag, Blue",user,,,,,,,,,,,SymbolAndName,,,2022-03-31T00:19:46Z
